0,1,2,3,4
"Census Tract 4301, Allegheny County, Pennsylvania",2100,42,003,430100
"Census Tract 4302, Allegheny County, Pennsylvania",4604,42,003,430200
"Census Tract 4311, Allegheny County, Pennsylvania",3317,42,003,431100
"Census Tract 4314, Allegheny County, Pennsylvania",1900,42,003,431400
"Census Tract 4315, Allegheny County, Pennsylvania",3068,42,003,431500
"Census Tract 4323, Allegheny County, Pennsylvania",2058,42,003,432300
"Census Tract 4324, Allegheny County, Pennsylvania",2608,42,003,432400
"Census Tract 4340, Allegheny County, Pennsylvania",1774,42,003,434000
"Census Tract 4350, Allegheny County, Pennsylvania",2443,42,003,435000
"Census Tract 4370, Allegheny County, Pennsylvania",5937,42,003,437000
"Census Tract 4390, Allegheny County, Pennsylvania",1422,42,003,439000
"Census Tract 4455, Allegheny County, Pennsylvania",3852,42,003,445500
"Census Tract 4460, Allegheny County, Pennsylvania",1639,42,003,446000
"Census Tract 4470, Allegheny County, Pennsylvania",1622,42,003,447000
"Census Tract 4480, Allegheny County, Pennsylvania",1287,42,003,448000
"Census Tract 4490, Allegheny County, Pennsylvania",2607,42,003,449000
"Census Tract 4507, Allegheny County, Pennsylvania",3146,42,003,450700
"Census Tract 4508, Allegheny County, Pennsylvania",2471,42,003,450800
"Census Tract 4511.01, Allegheny County, Pennsylvania",3733,42,003,451101
"Census Tract 4511.02, Allegheny County, Pennsylvania",5689,42,003,451102
"Census Tract 4511.04, Allegheny County, Pennsylvania",3546,42,003,451104
"Census Tract 4511.05, Allegheny County, Pennsylvania",5128,42,003,451105
"Census Tract 4513, Allegheny County, Pennsylvania",7339,42,003,451300
"Census Tract 4520, Allegheny County, Pennsylvania",5396,42,003,452000
"Census Tract 4530.03, Allegheny County, Pennsylvania",1912,42,003,453003
"Census Tract 4530.04, Allegheny County, Pennsylvania",7027,42,003,453004
"Census Tract 4550, Allegheny County, Pennsylvania",1508,42,003,455000
"Census Tract 4560.01, Allegheny County, Pennsylvania",3372,42,003,456001
"Census Tract 4560.03, Allegheny County, Pennsylvania",7230,42,003,456003
"Census Tract 4560.04, Allegheny County, Pennsylvania",4681,42,003,456004
"Census Tract 4571, Allegheny County, Pennsylvania",1516,42,003,457100
"Census Tract 4572, Allegheny County, Pennsylvania",3601,42,003,457200
"Census Tract 4580, Allegheny County, Pennsylvania",7755,42,003,458000
"Census Tract 4591.01, Allegheny County, Pennsylvania",1733,42,003,459101
"Census Tract 4591.02, Allegheny County, Pennsylvania",5917,42,003,459102
"Census Tract 4592.01, Allegheny County, Pennsylvania",6026,42,003,459201
"Census Tract 4592.02, Allegheny County, Pennsylvania",738,42,003,459202
"Census Tract 4600.01, Allegheny County, Pennsylvania",4653,42,003,460001
"Census Tract 4600.02, Allegheny County, Pennsylvania",3354,42,003,460002
"Census Tract 4610, Allegheny County, Pennsylvania",1145,42,003,461000
"Census Tract 4621, Allegheny County, Pennsylvania",2790,42,003,462100
"Census Tract 4626, Allegheny County, Pennsylvania",3499,42,003,462600
"Census Tract 4639, Allegheny County, Pennsylvania",2561,42,003,463900
"Census Tract 4643, Allegheny County, Pennsylvania",3294,42,003,464300
"Census Tract 4644, Allegheny County, Pennsylvania",3485,42,003,464400
"Census Tract 4656, Allegheny County, Pennsylvania",2468,42,003,465600
"Census Tract 4658, Allegheny County, Pennsylvania",3431,42,003,465800
"Census Tract 4687, Allegheny County, Pennsylvania",1634,42,003,468700
"Census Tract 4688, Allegheny County, Pennsylvania",2396,42,003,468800
"Census Tract 4689, Allegheny County, Pennsylvania",3914,42,003,468900
"Census Tract 4690, Allegheny County, Pennsylvania",4749,42,003,469000
"Census Tract 4703, Allegheny County, Pennsylvania",3885,42,003,470300
"Census Tract 4704, Allegheny County, Pennsylvania",2949,42,003,470400
"Census Tract 4705.01, Allegheny County, Pennsylvania",3619,42,003,470501
"Census Tract 4705.02, Allegheny County, Pennsylvania",3041,42,003,470502
"Census Tract 4706, Allegheny County, Pennsylvania",3420,42,003,470600
"Census Tract 4710, Allegheny County, Pennsylvania",1314,42,003,471000
"Census Tract 4721, Allegheny County, Pennsylvania",2382,42,003,472100
"Census Tract 4722, Allegheny County, Pennsylvania",2321,42,003,472200
"Census Tract 4723, Allegheny County, Pennsylvania",1920,42,003,472300
"Census Tract 4724, Allegheny County, Pennsylvania",1868,42,003,472400
"Census Tract 4731, Allegheny County, Pennsylvania",4623,42,003,473100
"Census Tract 4732, Allegheny County, Pennsylvania",2966,42,003,473200
"Census Tract 4733, Allegheny County, Pennsylvania",5629,42,003,473300
"Census Tract 4734.01, Allegheny County, Pennsylvania",3759,42,003,473401
"Census Tract 4734.02, Allegheny County, Pennsylvania",3609,42,003,473402
