0,1,2,3,4
NAME,S0801_C01_046E,state,county,tract
"Census Tract 5070, Allegheny County, Pennsylvania",22.1,42,003,507000
"Census Tract 5080, Allegheny County, Pennsylvania",29.0,42,003,508000
"Census Tract 5094, Allegheny County, Pennsylvania",26.4,42,003,509400
"Census Tract 5100, Allegheny County, Pennsylvania",27.2,42,003,510000
"Census Tract 5120, Allegheny County, Pennsylvania",25.6,42,003,512000
"Census Tract 5128, Allegheny County, Pennsylvania",33.2,42,003,512800
"Census Tract 5129, Allegheny County, Pennsylvania",29.0,42,003,512900
"Census Tract 5138, Allegheny County, Pennsylvania",33.0,42,003,513800
"Census Tract 5140, Allegheny County, Pennsylvania",35.6,42,003,514000
"Census Tract 5151, Allegheny County, Pennsylvania",32.4,42,003,515100
"Census Tract 5152, Allegheny County, Pennsylvania",28.5,42,003,515200
"Census Tract 5153, Allegheny County, Pennsylvania",24.4,42,003,515300
"Census Tract 5154.01, Allegheny County, Pennsylvania",27.7,42,003,515401
"Census Tract 5161, Allegheny County, Pennsylvania",26.7,42,003,516100
"Census Tract 5162, Allegheny County, Pennsylvania",26.4,42,003,516200
"Census Tract 5170, Allegheny County, Pennsylvania",23.9,42,003,517000
"Census Tract 5180.01, Allegheny County, Pennsylvania",29.3,42,003,518001
"Census Tract 5190, Allegheny County, Pennsylvania",27.4,42,003,519000
"Census Tract 5200.01, Allegheny County, Pennsylvania",31.6,42,003,520001
"Census Tract 5200.02, Allegheny County, Pennsylvania",28.3,42,003,520002
"Census Tract 5211, Allegheny County, Pennsylvania",27.6,42,003,521100
"Census Tract 5212, Allegheny County, Pennsylvania",26.9,42,003,521200
"Census Tract 5213.01, Allegheny County, Pennsylvania",27.8,42,003,521301
"Census Tract 5213.02, Allegheny County, Pennsylvania",26.3,42,003,521302
"Census Tract 5214.01, Allegheny County, Pennsylvania",30.6,42,003,521401
"Census Tract 5214.02, Allegheny County, Pennsylvania",32.7,42,003,521402
"Census Tract 5215, Allegheny County, Pennsylvania",29.0,42,003,521500
"Census Tract 5220, Allegheny County, Pennsylvania",32.0,42,003,522000
"Census Tract 5231, Allegheny County, Pennsylvania",29.8,42,003,523100
"Census Tract 5232, Allegheny County, Pennsylvania",33.4,42,003,523200
"Census Tract 5233, Allegheny County, Pennsylvania",29.2,42,003,523300
"Census Tract 5234, Allegheny County, Pennsylvania",30.0,42,003,523400
