0,1,2,3,4
"Census Tract 5214.01, Allegheny County, Pennsylvania",1342,42,003,521401
"Census Tract 5214.02, Allegheny County, Pennsylvania",1969,42,003,521402
"Census Tract 5215, Allegheny County, Pennsylvania",2041,42,003,521500
"Census Tract 5220, Allegheny County, Pennsylvania",1485,42,003,522000
"Census Tract 5231, Allegheny County, Pennsylvania",1519,42,003,523100
"Census Tract 5232, Allegheny County, Pennsylvania",1758,42,003,523200
"Census Tract 5233, Allegheny County, Pennsylvania",1846,42,003,523300
"Census Tract 5234, Allegheny County, Pennsylvania",2057,42,003,523400
"Census Tract 5235.01, Allegheny County, Pennsylvania",2330,42,003,523501
"Census Tract 5235.02, Allegheny County, Pennsylvania",607,42,003,523502
"Census Tract 5236, Allegheny County, Pennsylvania",2282,42,003,523600
"Census Tract 5237.01, Allegheny County, Pennsylvania",2084,42,003,523701
"Census Tract 5237.02, Allegheny County, Pennsylvania",2302,42,003,523702
"Census Tract 5238, Allegheny County, Pennsylvania",2401,42,003,523800
"Census Tract 5240, Allegheny County, Pennsylvania",1298,42,003,524000
"Census Tract 5251, Allegheny County, Pennsylvania",861,42,003,525100
"Census Tract 5252, Allegheny County, Pennsylvania",991,42,003,525200
"Census Tract 5253, Allegheny County, Pennsylvania",999,42,003,525300
"Census Tract 5261.01, Allegheny County, Pennsylvania",3373,42,003,526101
"Census Tract 5261.02, Allegheny County, Pennsylvania",1044,42,003,526102
"Census Tract 5262.01, Allegheny County, Pennsylvania",1728,42,003,526201
"Census Tract 5262.02, Allegheny County, Pennsylvania",2309,42,003,526202
"Census Tract 5263.01, Allegheny County, Pennsylvania",2216,42,003,526301
"Census Tract 5263.02, Allegheny County, Pennsylvania",2542,42,003,526302
"Census Tract 5509, Allegheny County, Pennsylvania",882,42,003,550900
"Census Tract 5512, Allegheny County, Pennsylvania",1475,42,003,551200
"Census Tract 5513, Allegheny County, Pennsylvania",1254,42,003,551300
"Census Tract 5519, Allegheny County, Pennsylvania",703,42,003,551900
"Census Tract 5520, Allegheny County, Pennsylvania",1329,42,003,552000
"Census Tract 5521, Allegheny County, Pennsylvania",641,42,003,552100
"Census Tract 5522, Allegheny County, Pennsylvania",376,42,003,552200
"Census Tract 5523, Allegheny County, Pennsylvania",1051,42,003,552300
"Census Tract 5524, Allegheny County, Pennsylvania",1284,42,003,552400
"Census Tract 5604, Allegheny County, Pennsylvania",789,42,003,560400
"Census Tract 5605, Allegheny County, Pennsylvania",990,42,003,560500
"Census Tract 5606, Allegheny County, Pennsylvania",457,42,003,560600
"Census Tract 5610, Allegheny County, Pennsylvania",758,42,003,561000
"Census Tract 5611, Allegheny County, Pennsylvania",392,42,003,561100
"Census Tract 5612, Allegheny County, Pennsylvania",611,42,003,561200
"Census Tract 5614, Allegheny County, Pennsylvania",1724,42,003,561400
"Census Tract 5615, Allegheny County, Pennsylvania",1247,42,003,561500
"Census Tract 5616, Allegheny County, Pennsylvania",993,42,003,561600
"Census Tract 5617, Allegheny County, Pennsylvania",424,42,003,561700
"Census Tract 5619, Allegheny County, Pennsylvania",1319,42,003,561900
"Census Tract 5620, Allegheny County, Pennsylvania",1341,42,003,562000
"Census Tract 5623, Allegheny County, Pennsylvania",1727,42,003,562300
"Census Tract 5624, Allegheny County, Pennsylvania",1406,42,003,562400
"Census Tract 5625, Allegheny County, Pennsylvania",1549,42,003,562500
"Census Tract 5626, Allegheny County, Pennsylvania",1318,42,003,562600
"Census Tract 5627, Allegheny County, Pennsylvania",969,42,003,562700
"Census Tract 5628, Allegheny County, Pennsylvania",781,42,003,562800
"Census Tract 5629, Allegheny County, Pennsylvania",977,42,003,562900
"Census Tract 5630, Allegheny County, Pennsylvania",1430,42,003,563000
"Census Tract 5631, Allegheny County, Pennsylvania",1811,42,003,563100
"Census Tract 5632, Allegheny County, Pennsylvania",1248,42,003,563200
"Census Tract 5633, Allegheny County, Pennsylvania",681,42,003,563300
"Census Tract 5638, Allegheny County, Pennsylvania",1610,42,003,563800
"Census Tract 5639, Allegheny County, Pennsylvania",1820,42,003,563900
"Census Tract 5640, Allegheny County, Pennsylvania",3076,42,003,564000
"Census Tract 5641, Allegheny County, Pennsylvania",434,42,003,564100
"Census Tract 5642, Allegheny County, Pennsylvania",1035,42,003,564200
"Census Tract 5644, Allegheny County, Pennsylvania",2847,42,003,564400
"Census Tract 5645, Allegheny County, Pennsylvania",1467,42,003,564500
"Census Tract 9800, Allegheny County, Pennsylvania",137,42,003,980000
"Census Tract 9801, Allegheny County, Pennsylvania",26,42,003,980100
"Census Tract 9803, Allegheny County, Pennsylvania",0,42,003,980300
"Census Tract 9804, Allegheny County, Pennsylvania",0,42,003,980400
"Census Tract 9805, Allegheny County, Pennsylvania",13,42,003,980500
"Census Tract 9806, Allegheny County, Pennsylvania",0,42,003,980600
"Census Tract 9807, Allegheny County, Pennsylvania",5,42,003,980700
"Census Tract 9808, Allegheny County, Pennsylvania",0,42,003,980800
"Census Tract 9809, Allegheny County, Pennsylvania",1931,42,003,980900
"Census Tract 9810, Allegheny County, Pennsylvania",0,42,003,981000
