"","NAME","state","county","tract","B05004_001E"
"254","Census Tract 4781, Allegheny County, Pennsylvania","42","003","478100",38.5
"255","Census Tract 4782, Allegheny County, Pennsylvania","42","003","478200",35.7
"256","Census Tract 4790, Allegheny County, Pennsylvania","42","003","479000",46
"257","Census Tract 4801.01, Allegheny County, Pennsylvania","42","003","480101",34.5
"258","Census Tract 4801.02, Allegheny County, Pennsylvania","42","003","480102",50.4
"259","Census Tract 4802, Allegheny County, Pennsylvania","42","003","480200",43.6
"260","Census Tract 4803, Allegheny County, Pennsylvania","42","003","480300",40.6
"261","Census Tract 4804, Allegheny County, Pennsylvania","42","003","480400",50.9
"262","Census Tract 4810, Allegheny County, Pennsylvania","42","003","481000",32.3
"263","Census Tract 4825, Allegheny County, Pennsylvania","42","003","482500",50
"264","Census Tract 4838, Allegheny County, Pennsylvania","42","003","483800",39.4
"265","Census Tract 4843, Allegheny County, Pennsylvania","42","003","484300",36
"266","Census Tract 4845, Allegheny County, Pennsylvania","42","003","484500",47.9
"267","Census Tract 4846, Allegheny County, Pennsylvania","42","003","484600",41.8
"268","Census Tract 4850, Allegheny County, Pennsylvania","42","003","485000",40.2
"269","Census Tract 4867, Allegheny County, Pennsylvania","42","003","486700",32
"270","Census Tract 4868, Allegheny County, Pennsylvania","42","003","486800",35.4
"271","Census Tract 4869, Allegheny County, Pennsylvania","42","003","486900",31.8
"272","Census Tract 4870, Allegheny County, Pennsylvania","42","003","487000",50.9
"273","Census Tract 4881, Allegheny County, Pennsylvania","42","003","488100",45
"274","Census Tract 4882, Allegheny County, Pennsylvania","42","003","488200",39.4
"275","Census Tract 4883, Allegheny County, Pennsylvania","42","003","488300",48.9
"276","Census Tract 4884, Allegheny County, Pennsylvania","42","003","488400",48.5
"277","Census Tract 4885, Allegheny County, Pennsylvania","42","003","488500",44.3
"278","Census Tract 4886, Allegheny County, Pennsylvania","42","003","488600",46.8
"279","Census Tract 4890.01, Allegheny County, Pennsylvania","42","003","489001",49.8
"280","Census Tract 4890.02, Allegheny County, Pennsylvania","42","003","489002",43.2
"281","Census Tract 4900.02, Allegheny County, Pennsylvania","42","003","490002",43.8
"282","Census Tract 4900.03, Allegheny County, Pennsylvania","42","003","490003",44.6
"283","Census Tract 4900.04, Allegheny County, Pennsylvania","42","003","490004",44.4
"284","Census Tract 4911.01, Allegheny County, Pennsylvania","42","003","491101",41.1
"285","Census Tract 4912, Allegheny County, Pennsylvania","42","003","491200",47.9
"286","Census Tract 4927, Allegheny County, Pennsylvania","42","003","492700",37.9
