"","NAME","state","county","tract","B19013_001E"
"180","Census Tract 4470, Allegheny County, Pennsylvania","42","003","447000",80192
"181","Census Tract 4480, Allegheny County, Pennsylvania","42","003","448000",46389
"182","Census Tract 4490, Allegheny County, Pennsylvania","42","003","449000",65179
"183","Census Tract 4507, Allegheny County, Pennsylvania","42","003","450700",42585
"184","Census Tract 4508, Allegheny County, Pennsylvania","42","003","450800",35722
"185","Census Tract 4511.01, Allegheny County, Pennsylvania","42","003","451101",81771
"186","Census Tract 4511.02, Allegheny County, Pennsylvania","42","003","451102",56375
"187","Census Tract 4511.04, Allegheny County, Pennsylvania","42","003","451104",103088
"188","Census Tract 4511.05, Allegheny County, Pennsylvania","42","003","451105",55081
"189","Census Tract 4513, Allegheny County, Pennsylvania","42","003","451300",106567
"190","Census Tract 4520, Allegheny County, Pennsylvania","42","003","452000",75968
"191","Census Tract 4530.03, Allegheny County, Pennsylvania","42","003","453003",57375
"192","Census Tract 4530.04, Allegheny County, Pennsylvania","42","003","453004",75297
"193","Census Tract 4550, Allegheny County, Pennsylvania","42","003","455000",58618
"194","Census Tract 4560.01, Allegheny County, Pennsylvania","42","003","456001",80050
"195","Census Tract 4560.03, Allegheny County, Pennsylvania","42","003","456003",94356
"196","Census Tract 4560.04, Allegheny County, Pennsylvania","42","003","456004",60740
"197","Census Tract 4571, Allegheny County, Pennsylvania","42","003","457100",40878
"198","Census Tract 4572, Allegheny County, Pennsylvania","42","003","457200",49545
"199","Census Tract 4580, Allegheny County, Pennsylvania","42","003","458000",68542
"200","Census Tract 4591.01, Allegheny County, Pennsylvania","42","003","459101",65000
"201","Census Tract 4591.02, Allegheny County, Pennsylvania","42","003","459102",93135
"202","Census Tract 4592.01, Allegheny County, Pennsylvania","42","003","459201",77388
"203","Census Tract 4592.02, Allegheny County, Pennsylvania","42","003","459202",54779
"204","Census Tract 4600.01, Allegheny County, Pennsylvania","42","003","460001",64730
"205","Census Tract 4600.02, Allegheny County, Pennsylvania","42","003","460002",70060
"206","Census Tract 4610, Allegheny County, Pennsylvania","42","003","461000",44375
"207","Census Tract 4621, Allegheny County, Pennsylvania","42","003","462100",33333
"208","Census Tract 4626, Allegheny County, Pennsylvania","42","003","462600",36132
"209","Census Tract 4639, Allegheny County, Pennsylvania","42","003","463900",35804
"210","Census Tract 4643, Allegheny County, Pennsylvania","42","003","464300",48490
"211","Census Tract 4644, Allegheny County, Pennsylvania","42","003","464400",25971
"212","Census Tract 4656, Allegheny County, Pennsylvania","42","003","465600",39601
"213","Census Tract 4658, Allegheny County, Pennsylvania","42","003","465800",57480
"214","Census Tract 4687, Allegheny County, Pennsylvania","42","003","468700",47857
"215","Census Tract 4688, Allegheny County, Pennsylvania","42","003","468800",41625
"216","Census Tract 4689, Allegheny County, Pennsylvania","42","003","468900",42684
"217","Census Tract 4690, Allegheny County, Pennsylvania","42","003","469000",72604
"218","Census Tract 4703, Allegheny County, Pennsylvania","42","003","470300",65105
"219","Census Tract 4704, Allegheny County, Pennsylvania","42","003","470400",62697
"220","Census Tract 4705.01, Allegheny County, Pennsylvania","42","003","470501",65592
"221","Census Tract 4705.02, Allegheny County, Pennsylvania","42","003","470502",74574
"222","Census Tract 4706, Allegheny County, Pennsylvania","42","003","470600",48893
"223","Census Tract 4710, Allegheny County, Pennsylvania","42","003","471000",43333
"224","Census Tract 4721, Allegheny County, Pennsylvania","42","003","472100",49309
"225","Census Tract 4722, Allegheny County, Pennsylvania","42","003","472200",76094
"226","Census Tract 4723, Allegheny County, Pennsylvania","42","003","472300",46193
"227","Census Tract 4724, Allegheny County, Pennsylvania","42","003","472400",78886
"228","Census Tract 4731, Allegheny County, Pennsylvania","42","003","473100",73407
"229","Census Tract 4732, Allegheny County, Pennsylvania","42","003","473200",55833
"230","Census Tract 4733, Allegheny County, Pennsylvania","42","003","473300",85330
"231","Census Tract 4734.01, Allegheny County, Pennsylvania","42","003","473401",66848
"232","Census Tract 4734.02, Allegheny County, Pennsylvania","42","003","473402",97841
"233","Census Tract 4735, Allegheny County, Pennsylvania","42","003","473500",126960
"234","Census Tract 4736.01, Allegheny County, Pennsylvania","42","003","473601",107109
"235","Census Tract 4736.02, Allegheny County, Pennsylvania","42","003","473602",85909
"236","Census Tract 4741.01, Allegheny County, Pennsylvania","42","003","474101",94236
"237","Census Tract 4741.02, Allegheny County, Pennsylvania","42","003","474102",105990
"238","Census Tract 4742.01, Allegheny County, Pennsylvania","42","003","474201",109700
"239","Census Tract 4742.02, Allegheny County, Pennsylvania","42","003","474202",122361
"240","Census Tract 4742.03, Allegheny County, Pennsylvania","42","003","474203",106500
"241","Census Tract 4751.01, Allegheny County, Pennsylvania","42","003","475101",60112
"242","Census Tract 4751.02, Allegheny County, Pennsylvania","42","003","475102",72292
"243","Census Tract 4752, Allegheny County, Pennsylvania","42","003","475200",75757
"244","Census Tract 4753.01, Allegheny County, Pennsylvania","42","003","475301",57674
"245","Census Tract 4753.03, Allegheny County, Pennsylvania","42","003","475303",80213
"246","Census Tract 4753.04, Allegheny County, Pennsylvania","42","003","475304",83311
"247","Census Tract 4754.01, Allegheny County, Pennsylvania","42","003","475401",71042
"248","Census Tract 4754.02, Allegheny County, Pennsylvania","42","003","475402",83868
"249","Census Tract 4761, Allegheny County, Pennsylvania","42","003","476100",46341
"250","Census Tract 4762, Allegheny County, Pennsylvania","42","003","476200",59063
"251","Census Tract 4771, Allegheny County, Pennsylvania","42","003","477100",65408
"252","Census Tract 4772, Allegheny County, Pennsylvania","42","003","477200",60495
"253","Census Tract 4773, Allegheny County, Pennsylvania","42","003","477300",49866
"254","Census Tract 4781, Allegheny County, Pennsylvania","42","003","478100",46667
"255","Census Tract 4782, Allegheny County, Pennsylvania","42","003","478200",58383
"256","Census Tract 4790, Allegheny County, Pennsylvania","42","003","479000",60595
"257","Census Tract 4801.01, Allegheny County, Pennsylvania","42","003","480101",44854
"258","Census Tract 4801.02, Allegheny County, Pennsylvania","42","003","480102",58846
"259","Census Tract 4802, Allegheny County, Pennsylvania","42","003","480200",62153
"260","Census Tract 4803, Allegheny County, Pennsylvania","42","003","480300",64205
"261","Census Tract 4804, Allegheny County, Pennsylvania","42","003","480400",59618
"262","Census Tract 4810, Allegheny County, Pennsylvania","42","003","481000",33750
"263","Census Tract 4825, Allegheny County, Pennsylvania","42","003","482500",49219
"264","Census Tract 4838, Allegheny County, Pennsylvania","42","003","483800",24703
"265","Census Tract 4843, Allegheny County, Pennsylvania","42","003","484300",38542
"266","Census Tract 4845, Allegheny County, Pennsylvania","42","003","484500",54026
"267","Census Tract 4846, Allegheny County, Pennsylvania","42","003","484600",47719
"268","Census Tract 4850, Allegheny County, Pennsylvania","42","003","485000",39167
"269","Census Tract 4867, Allegheny County, Pennsylvania","42","003","486700",17331
"270","Census Tract 4868, Allegheny County, Pennsylvania","42","003","486800",24844
"271","Census Tract 4869, Allegheny County, Pennsylvania","42","003","486900",26768
"272","Census Tract 4870, Allegheny County, Pennsylvania","42","003","487000",41314
"273","Census Tract 4881, Allegheny County, Pennsylvania","42","003","488100",51445
"274","Census Tract 4882, Allegheny County, Pennsylvania","42","003","488200",43241
"275","Census Tract 4883, Allegheny County, Pennsylvania","42","003","488300",57216
"276","Census Tract 4884, Allegheny County, Pennsylvania","42","003","488400",43770
"277","Census Tract 4885, Allegheny County, Pennsylvania","42","003","488500",51934
"278","Census Tract 4886, Allegheny County, Pennsylvania","42","003","488600",58456
"279","Census Tract 4890.01, Allegheny County, Pennsylvania","42","003","489001",56316
"280","Census Tract 4890.02, Allegheny County, Pennsylvania","42","003","489002",78849
"281","Census Tract 4900.02, Allegheny County, Pennsylvania","42","003","490002",50326
"282","Census Tract 4900.03, Allegheny County, Pennsylvania","42","003","490003",82500
"283","Census Tract 4900.04, Allegheny County, Pennsylvania","42","003","490004",81196
"284","Census Tract 4911.01, Allegheny County, Pennsylvania","42","003","491101",90083
"285","Census Tract 4912, Allegheny County, Pennsylvania","42","003","491200",59779
"286","Census Tract 4927, Allegheny County, Pennsylvania","42","003","492700",35833
"287","Census Tract 4928, Allegheny County, Pennsylvania","42","003","492800",25488
"288","Census Tract 4929, Allegheny County, Pennsylvania","42","003","492900",37866
"289","Census Tract 4940, Allegheny County, Pennsylvania","42","003","494000",37014
"290","Census Tract 4950, Allegheny County, Pennsylvania","42","003","495000",51122
"291","Census Tract 4961.01, Allegheny County, Pennsylvania","42","003","496101",71769
"292","Census Tract 4961.02, Allegheny County, Pennsylvania","42","003","496102",61231
"293","Census Tract 4962, Allegheny County, Pennsylvania","42","003","496200",51250
"294","Census Tract 4970, Allegheny County, Pennsylvania","42","003","497000",54833
"295","Census Tract 4980, Allegheny County, Pennsylvania","42","003","498000",51892
"296","Census Tract 4993, Allegheny County, Pennsylvania","42","003","499300",41992
"297","Census Tract 4994, Allegheny County, Pennsylvania","42","003","499400",36413
"298","Census Tract 5003, Allegheny County, Pennsylvania","42","003","500300",44068
"299","Census Tract 5010, Allegheny County, Pennsylvania","42","003","501000",30324
"300","Census Tract 5030.02, Allegheny County, Pennsylvania","42","003","503002",52075
"301","Census Tract 5041, Allegheny County, Pennsylvania","42","003","504100",39592
"302","Census Tract 5070, Allegheny County, Pennsylvania","42","003","507000",41081
"303","Census Tract 5080, Allegheny County, Pennsylvania","42","003","508000",25536
"304","Census Tract 5094, Allegheny County, Pennsylvania","42","003","509400",33345
"305","Census Tract 5100, Allegheny County, Pennsylvania","42","003","510000",25697
"306","Census Tract 5120, Allegheny County, Pennsylvania","42","003","512000",32190
"307","Census Tract 5128, Allegheny County, Pennsylvania","42","003","512800",19517
"308","Census Tract 5129, Allegheny County, Pennsylvania","42","003","512900",21500
