NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 1903, Allegheny County, Pennsylvania",1857,958,899,40,68558,42,3,190300,0.515885837,0.484114163,24.1,1134,65.2,60.7,4.5,22,6.2,1.7
"Census Tract 1911, Allegheny County, Pennsylvania",2581,1330,1251,36.8,62036,42,3,191100,0.515304146,0.484695854,22.2,1527,87.3,78.5,8.8,6.5,2.8,0
"Census Tract 1914, Allegheny County, Pennsylvania",2736,1232,1504,31.9,44792,42,3,191400,0.450292398,0.549707602,28.5,1817,68.1,63.5,4.7,17.3,8.6,0.7
"Census Tract 1915, Allegheny County, Pennsylvania",1885,1087,798,30.9,37301,42,3,191500,0.576657825,0.423342175,28,1152,65.9,59.8,6.1,29.7,2,0
"Census Tract 1916, Allegheny County, Pennsylvania",4378,2265,2113,39.6,49556,42,3,191600,0.517359525,0.482640475,25.9,2312,78,68.2,9.9,19,0.9,0
"Census Tract 1917, Allegheny County, Pennsylvania",3732,1890,1842,36.2,52667,42,3,191700,0.506430868,0.493569132,25.8,1937,81.3,67.7,13.5,12.8,1.4,0
"Census Tract 1918, Allegheny County, Pennsylvania",5278,2605,2673,38.8,56364,42,3,191800,0.493558166,0.506441834,25.4,2556,81.1,71.2,9.9,5.8,4.1,2
"Census Tract 1919, Allegheny County, Pennsylvania",1904,969,935,38.1,50568,42,3,191900,0.508928571,0.491071429,26.9,1012,80.3,78,2.4,12.3,2,0
"Census Tract 1920, Allegheny County, Pennsylvania",3785,1803,1982,38.7,45441,42,3,192000,0.476354029,0.523645971,24.3,1814,79.5,68.6,10.9,18.3,0.4,0
"Census Tract 2022, Allegheny County, Pennsylvania",2923,1409,1514,34.9,43750,42,3,202200,0.482039001,0.517960999,23.6,1190,64.1,52.3,11.8,24.4,6.2,1.5
"Census Tract 2023, Allegheny County, Pennsylvania",3876,1939,1937,41.3,60820,42,3,202300,0.500257998,0.499742002,20.4,2329,87.5,72.6,14.9,5.5,3.5,0
"Census Tract 2107, Allegheny County, Pennsylvania",2072,954,1118,34.3,40711,42,3,210700,0.46042471,0.53957529,21.7,1080,57.9,51.1,6.8,20.1,8.7,0.9
"Census Tract 2206, Allegheny County, Pennsylvania",1636,833,803,39,41076,42,3,220600,0.509168704,0.490831296,21,959,56.6,49.2,7.4,11.4,19.5,2.5
"Census Tract 2406, Allegheny County, Pennsylvania",2222,1130,1092,39.5,44028,42,3,240600,0.508550855,0.491449145,24.3,1197,65,54.6,10.4,19.5,11.5,1
"Census Tract 2412, Allegheny County, Pennsylvania",823,450,373,49.4,31314,42,3,241200,0.546780073,0.453219927,24.9,383,65.5,56.7,8.9,20.6,12.8,0
"Census Tract 2503, Allegheny County, Pennsylvania",1320,679,641,32.9,39500,42,3,250300,0.514393939,0.485606061,22.7,669,53.8,50.7,3.1,15.4,25,0
"Census Tract 2507, Allegheny County, Pennsylvania",712,331,381,34.2,20000,42,3,250700,0.46488764,0.53511236,22.6,242,46.7,33.9,12.8,23.1,25.6,0
"Census Tract 2509, Allegheny County, Pennsylvania",1149,581,568,37.3,26332,42,3,250900,0.505657093,0.494342907,25.3,526,76.4,58.9,17.5,20.2,2.9,0
"Census Tract 2602, Allegheny County, Pennsylvania",2072,1109,963,37.5,45075,42,3,260200,0.53523166,0.46476834,25.9,1136,82,70.5,11.5,13,1.5,0
"Census Tract 2607, Allegheny County, Pennsylvania",1696,859,837,41.1,52500,42,3,260700,0.506485849,0.493514151,24,940,66.3,55.2,11.1,18,0,0.9
"Census Tract 2609, Allegheny County, Pennsylvania",1440,615,825,21.9,12742,42,3,260900,0.427083333,0.572916667,29.7,307,50.8,44.3,6.5,49.2,0,0
